タイムスタンプ,02　新規登録ですか、修正依頼ですか,03　店舗名（正式名称）＜公開＞,04-1　店舗住所・区名＜公開＞,04-2　店舗住所・区以降＜公開＞,04-3　店舗住所・建物名称など＜公開＞,04-4　【任意】店舗の正確な位置（緯度・経度）が分かる方は入力をお願いします＜公開＞,05　店舗の電話番号（ハイフンなし）＜公開＞,06　最寄り駅＜公開＞,07　提供の条件（提供時間・曜日）＜公開＞,08　定休日＜公開＞,09　店舗　ウェブサイトURL＜公開＞,10　店舗　SNS＜公開＞,11　料理のジャンル＜公開＞,12　テイクアウト（持ち帰り）はできますか＜公開＞,13-1　デリバリー（宅配・出前）はできますか＜公開＞,13-2　デリバリー（宅配・出前）の配達・配送料＜公開＞,14　店舗からのメッセージ＜公開＞,15-1a　【メニュー１】メニュー名＜公開＞,15-1b　【メニュー１】税込価格＜公開＞,15-2a　【メニュー２】メニュー名＜公開＞,15-2b　【メニュー２】税込価格＜公開＞,15-3a　【メニュー３】メニュー名＜公開＞,15-3b　【メニュー３】税込価格＜公開＞,15-4　【メニュー4以降】メニュー名、税込価格＜公開＞,店舗ID,,,,,
4/24/2020 8:57:30,新規登録,料理処　松風苑,南区,蒔田町863番地,旅館松島,,0457312720,市営地下鉄　蒔田駅,テイクアウト9時～18時受付　受渡11時30分～19時　休み　月曜と第1、第3火曜日,月曜日,,,お弁当,はい,いいえ,,旅館松島併設の料理店「松風苑」（しょうふうえん）本格的な味を家族で楽しめます。,うな重,3200,松島弁当,1800,牛ステーキ丼,1300,"牛タン弁当1,650円.天丼1,200円.天ぷら弁当1,500円.お子様弁当800円.その他単品メニューあり（刺身.天ぷら.茶碗蒸し.焼き鳥）",118,,,,,
4/24/2020 10:33:27,新規登録,隠れやご縁,港北区,菊名4-2-8地下1階,,,0454329622,菊名駅,テイクアウトは20時までです,不定休,https://kakureya-goen.com/,,和食,はい,いいえ,,横浜市の菊名にある隠れやご縁です。焼鳥はもちろん、お刺身や丼物などバラエティ豊かな鶏料理が味わえ、特に希少価値の高い、特上白レバー串はオススメ。備長炭で焼き上げ、沖縄の天然塩、もも肉にはビタミンEが豊富な青森県産桜姫鶏をはじめ、各部位により厳選した銘柄鶏を仕入れているなど、素材へのこだわり。焼鳥に良く合う本格焼酎も50種類以上常備。隠し焼酎もあります。仕事帰りのサラリーマンやカップルなど気軽に入れるカジュアルなムードも魅力的。平日、週末の仕事帰りに明日への活力を当店で充電して頂ければ幸いです。,炭火焼きで炙った桜姫鶏の親子丼,750,特製ピリ辛丼,750,焼き鳥盛り合わせ,990,,119,,,,,
4/24/2020 10:39:56,新規登録,鬼熊　おにくま,青葉区,美しが丘1-10-8,第一みなもとビル1階,,0459010003,たまプラーザ,4月のテイクアウト受け取り時間17時～20時,水曜日,http://www.onikuma.net,,和食,はい,いいえ,,"開店以来23年間ずっと毎日市場で仕入れた
鮮魚と対話して作る日替りお任せ刺盛
鬼熊の看板メニュー　お刺身盛合せ２人前　
テイクアウト特別価格!お得です!",お刺身盛合せ2人前,2000,,,,,,120,,,,,
4/24/2020 12:06:49,新規登録,Felice,南区,南太田1-22-2,,,0453257639,京急南太田,テイクアウト　11:00～17:00,月曜日,http://felice411.amebaownd.com,http://www.facebook.com/Felice411/,洋食,はい,いいえ,,"こだわりの超あらびきハンバーグ　ボリューム満点のハンバーガー　手作りのアップルパイ
クリームチーズパイ
他のお店では絶対に食べる事ができません！　是非お試しください！",テイクアウト　バーガー　,880,ロコモコ,1100,ポークソテーガーリック柚子胡椒,1000,アップルパイ　クリームチーズパイ　\500,121,,,,,
4/24/2020 12:22:24,新規登録,タニヤ食堂,西区,浅間町5-379-10,,,0453143954,天王町,デリバリー：11：00～15：00（日祝を除く）テイクアウト：10：30～14：00（日祝を除く）　,日曜日,http://shop.gyorankobo.jp/,https://www.instagram.com/naochandesu1020/,和食,はい,はい,１回￥２００,「横浜たにや」のお弁当をご自宅までお届けいたします。配送料１回￥２００※合計金額￥３，０００以上で配送無料、店頭での受け取りも可能です。,海鮮丼,850,アジフライ弁当,850,うな丼,1100,から揚げ弁当,122,,,,,
4/24/2020 12:28:16,新規登録,上海豫園,中区,山下町166,,,0452125087,石川町,11時～17時,日曜日,https://retty.me/area/PRE14/ARE39/SUB3903/100000435795/,https://www.instagram.com/shanghaiyoen,中華,はい,いいえ,,お店自慢の小籠包が入ったお弁当を販売中です！お弁当の内容は、ご飯＋メインのおかず(酢豚or回鍋肉orイカのピリ辛炒め)＋小籠包2つ＋春雨サラダ＋お新香で、税込900円です。,中華弁当,900,,,,,当店のグランドメニュー汁物以外は、テイクアウト可能です。お電話もしくは店頭にて注文頂ければご対応致しますのでお待ちしております！,123,,,,,
4/24/2020 12:32:47,新規登録,横浜天下鳥金沢文庫店,金沢区,谷津町359,,,0457803877,金沢文庫駅,"テイクアウト11時半～20時
ご予約受付10時半～　ラストオーダー19時",不定休,https://tenkadori-kanazawabunko.com/,https://www.instagram.com/tenka_bunko,お弁当,はい,いいえ,,お弁当だけでなく焼鳥・串焼き・揚げ物・焼鳥丼など既存のメニューも出来るだけテイクアウト対応しております！,ガーリック唐揚げ弁当,750,チキン南蛮弁当,750,焼鳥弁当,750,,124,,,,,
4/24/2020 14:00:17,新規登録,炭火焼肉 慶洲苑,神奈川区,片倉2-24-27,,,0454135541,片倉町駅,"テイクアウトは月曜日の休日を除く12:00～14:00, 17:30～20:00",月曜日,,https://twitter.com/yakiniku1115,焼肉,はい,いいえ,,お弁当を始めました！お昼だけではなく夜もご注文いただけます！一つ一つ丁寧に炭火で焼き上げていますので、お家では味わえない炭の香ばしい香りと当店自慢のお肉をぜひお試しください！お弁当以外にも自家製のキムチ・ナムルなども各種お持ち帰りいただけます！お弁当等の詳細につきましては、TEL045-413-5541までご連絡ください！ご注文をお待ちしております！,炭火焼き牛肉弁当,1000,炭火焼肉豚肉弁当,750,特選シンロース弁当,1700,"ビビンバ弁当 750円
サンチュサラダ丼弁当 750円",125,,,,,
4/24/2020 14:17:41,新規登録,日本酒バルUMAMI ,神奈川区,鶴屋町2-9-22,日興パレス横浜1階,,0456206368,横浜駅,"テイクアウト、デリバリー共に、11:00～14:00(ランチ)、16:00～20:30(ディナー)
定休は月曜日、第二第三火曜日",月曜日,https://tabelog.com/kanagawa/A1401/A140101/14051628/,https://www.instagram.com/umami_yokohama/,和食,はい,はい,3000円以上で近隣一部地域のみ配達可能です。,"【配達は店舗近隣の一部地域限定です】
素材にこだわった本格和食弁当をご用意。
長年割烹料理店で修行したスタッフが作る和食御膳や、市場直送鮮魚を使用した海鮮丼など、美味しい料理をご提供致します。
手づくりの味、お店の味をご自宅でどうぞ。",店内手仕込み！UMAMI 和食御膳,2200,本マグロ入り！海鮮丼,2000,具材たっぷり！海鮮ちらし,1500,筑波山もち豚ロースカツ御膳(1200円),126,,,,,
4/24/2020 15:14:19,新規登録,Toast neighborhood bakery ,中区,本郷町1-25,,,0452638264,山手,8ー17,"火曜日, 水曜日",http://www.toastbakery.jp,,サンドイッチ　パン,はい,はい,詳細はwebサイトをご覧ください,店舗に来れない時はWEBサイトからオーダーできます,,,,,,,,127,,,,,
4/24/2020 15:28:42,新規登録,鮨 酒 肴　杉玉　横浜西口,西区,南幸2‐9‐6,ウイング南幸　２F,,0455345167,横浜駅,11：30～20：00(中休憩15：00～16：00),定休日なし,https://sugitama-yokohamanishiguchi.com/,https://www.instagram.com/sugidama_yokonishi/?hl=ja,寿司,はい,はい,Uber Eatsやってます！,スシローの新業態　鮨・酒・肴 杉玉 横浜西口店　見ても、食べても、余韻までも旨い店,◆　人気寿司盛り 上　◆1人前（10貫）※テイクアウト価格,1296,◆　定番寿司盛り 並　◆1人前（10貫）※テイクアウト価格,1080,◆　豪華寿司盛り 特上　◆1人前（10貫）※テイクアウト価格,1728,,128,,,,,
4/24/2020 15:46:47,新規登録,レストラン永田台,南区,永田台3-12,永田台ゴルフ練習場内,,0453154013,井土ヶ谷,テイクアウト11:00～19:00,月曜日,,,お弁当,はい,いいえ,,永田台ゴルフ練習場内のレストランの大好評定番メニューをご自宅でお召し上がりください。駐車場もお使いいただけますのでお車でのお越しも可能です。,唐揚げ弁当,600,生姜焼き弁当,600,ハンバーグ弁当,700,カレー弁当　\500,129,,,,,
4/24/2020 15:47:57,新規登録,sacco,泉区,和泉中央南5-4-13,相鉄いずみ中央ビル　2-A-2,,0454355731,いずみ中央,テイクアウト　11:00～14:00,火曜日,,,洋食,はい,いいえ,,この時期限定のイタリアントマトカレーもございます。,湘南生ハムのパニーニ ,540,イタリアントマトカレー,648,自家製ラザニア,972,"オリーブマリネ、自家製ピクルス、地野菜のサラダ......324円
レバーパテ、パテドカンパーニュ.....540円
ペンネアラビアータ、ペンネレモンクリーム.....864円
自家製ラザニア、シーフードドリア.....972円
国産豚バラ肉のコンフィ......1080円
テイクアウトワインあります。
店内表示価格の40%OFF",130,,,,,
4/24/2020 15:50:01,新規登録,海鮮寿司酒場はまいち,南区,永田東2ー11ー38,,,0457410748,井土ヶ谷駅,15時から20時まで,月曜日,,,寿司,はい,はい,,当店自慢生本マグロ、とろける脂、味に自信あり！ぜひご賞味下さい,特上にぎり,1580,上にぎり,1400,並にぎり,1140,"旬のお刺身盛り合わせ松5280円、竹3850円、梅2200円、旬の天ぷら盛り合わせ1650円、鶏の唐揚げ6ｹ710円、鶏軟骨唐揚げ550円、手作りだし巻きたまご660円、特選ほっけ焼き880円、ベーコンエッグシーザーサラダ710円
",131,,,,,
4/24/2020 16:26:19,新規登録,配食のふれ愛　横浜中央店,緑区,中山3-13-1-320,,,0455324896,中山,毎日。昼食(9:00～12:00)、夕食(14:00～17:00 )。時間指定はできません。,定休日なし,http://fureai-yokohamamidori.com,,お弁当,いいえ,はい,無料,配食のふれ愛 横浜中央店は、原材料にこだわり抜き、ご高齢者様向けに味付け、栄養バランスなどに配慮した美味しいお弁当を、毎日、お昼と夜の日替わり献立でお届けします。配送料は無料。ご高齢者ではないお客様からも、健康やダイエットの為など、さまざまなかたちでのご利用をいただいております。毎日の健康的な食生活の為に、どうぞご利用ください！！,日替わり弁当(普通食)・ごはん付き,550,日替わり弁当(カロリー調整食)・おかずのみ,770,日替わり弁当(たんぱく調整食)・おかずのみ,810,,132,,,,,
4/24/2020 16:53:57,新規登録,たる屋,保土ケ谷区,上星川3ー4ー3,,,0457449987,相鉄線上星川駅,営業時間12:00～19:00,月曜日,,,焼き鳥その他,はい,いいえ,,地元に根付いた地域密着の居酒屋です！当店名物オリジナルハーブソースの雛丸鶏揚げ\1100(ハーフ\550)がおすすめです！焼き鳥\130～揚げ物\300～その他おすすめメニューお持ち帰りできます。お気軽にお問い合わせ下さい！(表示価格は税別です),,,,,その他メニューもございます,,,133,,,,,
4/24/2020 17:01:28,新規登録,ハードロックカフェ横浜,西区,みなとみらい２－３－１,クイーンズタワーＡ１階,"35.455726,139.632939",0456825626,みなとみらい駅,テイクアウト・デリバリー：11時～17時まで,定休日なし,http://hardrockjapan.com/location/yokohama/,https://www.facebook.com/hardrockcafeyokohama/,ハンバーガー,はい,はい,"・デリバリーは2個以上の注文で店舗より1km以内（徒歩10分程度）に限り、配達も承ります。（5月6日まで配送料無料）
・デリバリーのお支払いは現金のみです。（テイクアウトは現金・各種クレジットカード可）
・各種割引の対象外とさせていただきます。
・今後の状況に応じ、営業時間は変更になる場合がございます。","お家で気軽にアメリカン！ボリューム満点のアメリカンテイストをご自宅、オフィスで。
自慢のバーガーをはじめ、フードアイテムのテイクアウト販売をスタート。",クラシックバーガー,800,チーズバーガー,900,ベーコンバーガー,900,"テリヤキバーガー　900円
アボカドバーガー　900円
ベーコンチーズバーガー　1000円
BBQチキン＆ピラフ　1000円
ロコモコ　1000円
パスタボロネーズ　1000円
",134,,,,,
4/24/2020 17:03:09,新規登録,かいせき工房ききょう,金沢区,瀬戸5-3,ローズマンションアネックス1階,,0457010900,金沢八景   (京急線、シーサイドライン),デリバリー、テイクアウト共に11:30～18:00まで。当日夕方お引き渡しの受付は14:00までとさせて頂きます。ご提供までお時間がかかりますので、早めにご連絡ください。,火曜日,http://www.kaiseki-kikyo.com,,和食,はい,はい,,"葉山の老舗、日影茶屋で修業ののち、地元金沢八景にて開店以降25年あまり、高級料亭の味を親しみやすく、なお、心を込めたおもてなしを求め続けてまいりました。
地元の方々へ感謝を込めて、リーズナブルなテイクアウト弁当をご用意いたしました。",期間限定テイクアウト懐石弁当（返却不要）,1620,,,,,"松花堂弁当2160円、桔梗弁当3240円 いずれも返却要デリバリー。
引き取り、返却をしていただく場合は8%引き。 (その際、積載できるお車でお越しください。)",135,,,,,
4/24/2020 17:18:33,新規登録,おにぎり弁慶,南区,東蒔田町１０ー２,,"35.4311638, 139.6165038",0457139080,横浜市営地下鉄　吉野町駅,テイクアウト　７:００～１８:００,月曜日,http://onigiri-benkei.com/,http://onigiri-benkei.com/,おにぎり,はい,はい,横浜市内１００００円以上のご注文のみで配達いたします。（無料）,"横浜で４０年の味。おにぎり専門店として営業してまいりました。
うまい米、うまい具材を、ひとつひとつ心を込めてむすんでおります。
店舗では、ご注文をいただいてからお作りしており、ほっこりあたたかいおむすびをお持ち帰りいただいております。
",店内で焼いて、荒ほぐしにした紅鮭のおにぎり,180,横浜杉田の梅を当店で漬けています。杉田梅おにぎり,180,当店仕込みの味噌を使用　味噌大根おにぎり,170,具材の種類は、３０種類　玄米おにぎり　おこわおにぎりと豊富なラインナップでお待ちしております。,136,,,,,
4/24/2020 17:21:13,新規登録,エッグスンシングス　横浜山下公園店,中区,山下町11,スターホテル横浜1F,,0452228481,元町・中華街駅,9時～18時（17時ラストオーダー）,定休日なし,https://www.eggsnthingsjapan.com/yokohama/,https://www.facebook.com/eggsnthings.yokohama/,ハワイアン料理,はい,いいえ,,"お家で気軽にハワイアン！
テイクアウトのご利用で、""All Day Breakfast""をコンセプトに、美味しくてボリューム感のある
本場ハワイのブレックファースト＆ディナーメニューをお楽しみいただけます。",ロコ・モコ,1188,ガーリックシュリンプ　～ノースショアスタイル～,1848,エッグスンバーガー,1298,,137,,,,,
4/24/2020 17:44:21,新規登録,カプリチョーザ　横浜元町店,中区,元町1-31,ラ・スピーガ元町2F,,0456641733,元町・中華街駅,（平日）11時30分～19時30分　（土日祝）11時00分～19時30分,定休日なし,http://capricciosa.com/,,洋食,はい,はい,店舗より徒歩約10分圏内のお客様は、配送料無料。（5月6日まで）,"デリバリー＆テイクアウトのご利用で、イタリア産のトマトで仕込む甘みとコクのある
トマトソースを使ったボリュームたっぷりの本格イタリア料理をご自宅で楽しめます！",トマトとニンニク　スパゲティ（レギュラー）,1067,元祖シチリア風ライスコロッケ　ミートソースがけ,726,マルゲリータ　モッツァレラチーズとバジリコ,1100,,138,,,,,
4/24/2020 17:52:12,新規登録,カプリチョーザ　横浜みなとみらい店,西区,みなとみらい2-3-1,クイーンズタワーA 2F,0452649851,,,,定休日なし,http://capricciosa.com/,,洋食,はい,はい,,"デリバリー＆テイクアウトのご利用で、イタリア産のトマトで仕込む甘みとコクのある
トマトソースを使ったボリュームたっぷりの本格イタリア料理をご自宅で楽しめます！",スパゲティ　トマトとニンニク（レギュラー）,1067,元祖シチリア風ライスコロッケ　ミートソースがけ,726,マルゲリータ　モッツァレラチーズとバジリコ,1100,,139,,,,,
4/24/2020 17:52:51,新規登録,安波,神奈川区,西神奈川3-16-1,,,0457168779,東白楽・白楽,11：00～19：00,定休日なし,,,洋食、和食、丼、お惣菜,はい,いいえ,,皆様が笑顔になり、心にも体にも栄養のある商品をお届けしたいと思っています。お持ち帰りは、お電話頂ければ待ち時間なくお渡しさせて頂きます。,リュウキュウ丼,780,サーロイン丼,780,イベリコ丼,780,"チキンステーキ丼　780円
パエリア（一人前）1,000円、（二人前）1,900円
唐揚げ　600円
油淋鶏　600円
山芋揚　400円
スペイン風ポテトフライ　400円
チーズフライ　400円
サラダ　500円",140,,,,,
4/24/2020 17:59:26,新規登録,タイ料理トムヤムくん,栄区,小菅ヶ谷1-1-1,市営本郷台住宅1階,"35.3671592,139,5464574",0454107941,本郷台駅,11:30～15:00（L.O.14:30）、17:30～20:00（L.O.19:30）事前電話注文可,月曜日,https://tabelog.com/kanagawa/A1401/A140309/14072311/,https://m.facebook.com/pg/タイ料理-トムヤムくん-1879618255673607/posts/,タイ料理、エスニック,はい,いいえ,,殆どの店内メニューをテイクアウト可能です。事前にお電話でオーダーしてから取りに来て頂くことも可能です。,,,,,,,,141,,,,,
4/24/2020 19:20:16,新規登録,寿司・鰻・天婦羅～奴～,磯子区,森3-3-17,森町分譲共同ビル1F,"35.394329, 139.614789",0457535333,屏風浦駅,デリバリーは19時30分まで、ランチタイム専用メニューは平日のみ(11時～14時30分),定休日なし,https://www.yakko-zushi.co.jp,,和食,はい,はい,ランチ専用メニューのみ、１配達200円(税別)かかります,40年以上続けてきた地元の味を是非ご賞味下さい。デリバリー範囲は磯子区内はどこでもご利用頂けます。磯子区外は店との距離が近い場合もありますので、ご相談下さい。,ばらちらし,2100,うな重(松),3200,うなぎの半蒲焼き(テイクアウト限定),1000,大海老天重、1700円他多数ご利用頂けます。,142,,,,,
4/24/2020 19:39:08,新規登録,炭火焼・ホルモン　勝滝,旭区,中希望が丘111-1,勝滝ビル1階,,0453615750,希望が丘,デリバリー 11:30~13:00 17:00~20:00　テイクアウト6:00~13:00 15:00~20:00,月曜日,http://katsutaki.co.jp,https://www.facebook.com/katsutakihormon,お弁当,はい,はい,1000円以上のご注文で配送料無料。最大200円の配送料で1つからでも配送します。,"配達可能エリア
中希望が丘　南希望が丘　東希望が丘　善部町　さちが丘　万騎が原　三ツ境　柏町　二俣川二丁目　緑園都市　阿久和東　阿久和西　阿久和南

お弁当以外にも串焼き等、お酒のおつまみなども取り揃えております。
詳しくはHPをご参加ください。http://katsutaki.co.jp",焼肉弁当,510,唐揚げ弁当,510,お子様弁当,460,"カルビ弁当　610円　ホルモン弁当　510円　肉野菜炒め弁当　510円　レバニラ弁当　510円　豚キムチ弁当　510円　唐揚げメンチ弁当　560円　唐揚げアジフライ弁当　560円　唐揚げ白身フライ弁当　560円　唐揚げハンバーグ弁当　560円　唐揚げ串カツ弁当　560円　唐揚げシャケ弁当　560円　のり弁当　280円　のりメンチ弁当　430円　のりアジフライ弁当　430円　のり白身フライ弁当　430円　のりシャケ弁当　430円　玉子焼き弁当　440円
ミックス弁当（上）　610円　ミックス弁当（並）　460円　アジフライ弁当　510円　白身フライ弁当　510円　イカフライ弁当　510円　カキフライ弁当　560円　エビフライ弁当　670円　チャーハン　510円　カレー弁当　460円　カツカレー弁当　710円　串カツ弁当　510円　ロースカツ弁当　610円　メンチカツ弁当　510円　コロッケ弁当　460円　春巻シュウマイ弁当　560円　バンバーグ弁当　460円　牛丼弁当　460円　サバ味噌煮弁当　510円　チキンチリ弁当　560円　もつ煮込み弁当　460円　シャケ弁当　460円　サバ焼き弁当　630円　牛もつ煮込み300円　フライドポテト250円　鶏の唐揚げ350円　メンチカツ190円　コロッケ130円　アジフライ190円　白身フライ190円　イカフライ110円　串カツ190円　カキフライ350円　エビフライ220円　ロースカツ360円　野菜サラダ300円　ポテトサラダ190円　マカロニサラダ190円もやしあえ190円　漬物190円　キムチ190円　塩辛340円　春巻120円　おにぎり130円ライス130円　トン汁190円　味噌汁140円　わかめスープ190円　コーンスープ190円　トリモモ120円　ネギ間120円　とり皮120円　つくね120円　砂肝120円　かしら130円　タン130円　ハツ130円　ガツ130円　レバー130円　しいたけ110円　長ネギ110円",143,,,,,
4/24/2020 19:59:32,新規登録,トラットリア  シャント,青葉区,荏田北3-8-7,シエル江田101,,0459158666,江田,テイクアウト11:30～20:00,木曜日,,,洋食,はい,いいえ,,"冷めても美味しいパエリアと
お酒にぴったりのオードブル盛り合わせ
ピザ、パスタなどスペイン、イタリア料理をご自宅で！",オードブル盛り合わせ２人前,3024,魚介のパエリア２人前,3456,ピザ各種,1188,,144,,,,,
4/24/2020 20:37:54,新規登録,DAIGOMI BURGER,西区,高島2-14-9,アソビル1F,"35.463781,139.622011",0455949138,横浜駅直通,営業時間11:00～19:00(現在通常の営業時間とは異なります。状況により予告なく営業時間の短縮、休業になる場合もございます。あらかじめご了承ください。),"土曜日, 日曜日, 不定休",https://asobuild.com/shops/406/,https://www.facebook.com/daigomiburger/,ハンバーガー,はい,はい,デリバリーは Uber Eats にて承っております。,"南青山にチーズレストランを構える”チーズレストラン DAIGOMI によるグルメバーガー。
チーズ好きのための、チーズ好きによる、チーズにこだわったチーズバーガーをお楽しみいただけます。",チーズバーガー,1188,ダブルチーズバーガー,1782,フレンチフライ(クリスピータイプ),324,,145,,,,,
4/24/2020 21:40:18,新規登録,ペグルトゥーゴー,青葉区,桜台44-12,,"35.549850, 139.508351",0458773330,青葉台駅,月曜日・火曜日・金曜日・土曜日・日曜日【11:30 ～ 18:00】,"水曜日, 木曜日",,https://www.facebook.com/PegulToGo/,魯肉飯（台湾料理）,はい,いいえ,,横浜青葉台のお弁当屋で、魯肉飯（ルーローファン）専門店。魯肉飯の定義「脂身のある豚肉を甘塩っぱく煮込んだもの」を守って、ペグルトゥーゴーオリジナルの美味しい魯肉飯に仕上げました。体に優しくて美味しいお弁当を、ぜひ味わってください。ゴミを減らすをコンセプトに作られた優れもの、【ペグルバッグ（紙のお弁当袋）】で、ご提供しています。,魯肉飯（ルーローファン）,756,魯肉咖喱飯（ルーローカリーファン）,756,,,,146,,,,,
4/24/2020 23:12:14,新規登録,ビストロ　ギオット,港北区,日吉本町　1-19-2,,,0455633388,日吉,テイクアウトは20時まで,"月曜日, 火曜日, 木曜日, 金曜日, 土曜日, 日曜日",,https://www.instagram.com/bistro_ghiotto/,洋食,はい,いいえ,,フレンチビストロ料理をおうちでどうぞ！,,,,,,,,147,,,,,
4/24/2020 23:46:58,新規登録,海んちょ,港北区,日吉6-9-18,ヴァンベール日吉1F,"35.543051,139.653941",0455629426,日吉駅,テイクアウトは金曜日、土曜日、日曜日の16時から21時まで,"月曜日, 火曜日, 水曜日, 木曜日",http://umincho.net,https://www.instagram.com/umincho/?hl=ja,和食,はい,いいえ,,日々料理の研究に余念がない店主の、和を洋に、洋を和にと、様々なアレンジを効かせた、アイディアたっぷりの海んちょ自慢の創作料理をお届けします。,もつ煮込み～牛すじ入り～大盛り,648,あぐー豚の肉どうふ,1058,梅酒で漬けた油淋鶏,626,横浜野菜の浅漬け盛り合わせ（432）、ごぼうのサクサク揚げ（550）、山芋ステーキ（669）、ガーリックポテト（423）、手羽先の唐揚げ（734）,148,,,,,
4/25/2020 0:36:06,新規登録,廣東厨房 鴻,中区,石川町1-13-12,,,0452649861,石川町駅,"デリバリーはやってないです。
テイクアウトは、営業時間内でしたらいつでもOK！
電話いただいていると、あまりお待たせしません。
ほぼ全てのお料理持ち帰れます。",水曜日,,,中華,はい,いいえ,,夫婦でやっている小さな中華料理店。ベースは広東料理ですが、辛いものも多少あります。作り置きはしていないので、お時間はいただきますので電話してから来ていただけるとあまりお待たせしません。,エビだし白麻婆豆腐,1026,焼売 6個,810,三元豚の黒酢すぶた,1512,,149,,,,,
4/25/2020 2:35:45,新規登録,かばのおうどん 横浜元町本店,中区,山下町276-2,,"35.439799, 139.645061",0456515480,石川町駅,テイクアウト・デリバリーともに11時～20時（臨時営業時間）,火曜日,https://kaba-oudon.com/,https://twitter.com/kabanooudon,そば・うどん,はい,はい,Uber EATSまたは出前館の規定によります,横浜おうどんを広めるべく挑戦中！コシの強い麺と作り置きしない天ぷら・串揚げで、新しい美味しさを発見できます。,肉汁おうどん,1080,うま辛チゲおうどん,1380,かしわ野菜天スペシャル,1440,"テイクアウトは店内商品のほとんどをお持ち帰り出来ます。
またこの表に記載のメニューはデリバリー料金となっており、テイクアウト料金＆店内料金とは異なります。",150,,,,,
4/25/2020 5:17:03,新規登録,串揚げ処なんでやねん,西区,南幸2-8-1,,,0453222224,横浜駅,テイクアウト11時～20時まで,定休日なし,,,お弁当,はい,いいえ,,串揚げ屋ならではの串揚げ弁当、唐揚げ弁当をはじめ、串揚げ単品のおつまみもご用意できます！,串揚げ弁当,740,唐揚げ弁当,630,串揚げ 盛り合わせ,1000,"ホイコーロー弁当 740円
鶏肉のチリソース炒め弁当 740円
しょうが焼き弁当 740円",151,,,,,
4/25/2020 7:36:30,新規登録,有限会社コメコメ,旭区,上白根1-2-1,白根第一マンション103,,0459512177,鶴ヶ峰駅,デリバリーは、6時まで、テイクアウトは、5時30分まで,日曜日,,,お弁当,はい,はい,無料,"お米屋が作る美味しいお弁当^_^ 
配達料無料で、お手軽価格！　
やっぱり、お米が旨い！　
一度ご賞味下さい！",生姜焼き弁当,580,さばの味噌煮弁当,580,ハンバーグ弁当,580,"アジフライ弁当　
唐揚げ弁当
各580円",152,,,,,
4/25/2020 8:56:18,修正依頼,小岩井牛乳横浜ミルクセンター,青葉区,元石川町5421-30,,,0459027828,たまプラーザ,エリア内所定コース定期配達,定休日なし,,,牛乳 ヨーグルト 果汁 乳製品ソフトドリンク他,いいえ,はい,無料,"
イーハトーヴゥの國 小岩井農場からお届け…

ｍob 090-3576-1144 
fax 045-902-7970 (24H) 
katsuyoshi-kitajima@ezweb.ne.jp 
kitajima-milk@c08.itscom.net 
…………………………… 
うがい 手洗い プラズマ乳酸菌 プロジェクト
……………………………
免疫NK細胞+ナチュラルキラーT細胞を強くし免疫司令塔プラズマサイトイド樹状細胞を直接活性化する乳酸菌と世界初認定",,,,,,,,17,,,,,
4/25/2020 9:05:10,新規登録,イベロアメリカーナ,中区,長者町7-114,AKセカンドビル101,,0453413377,伊勢佐木長者町,12:00～20:00,定休日なし,http://iberoamericana.favy.jp,https://picks.fun/shop/136,チョリパン、エンパナーダ,はい,いいえ,,中南米料理を是非,チョリパン,600,エンパナーダ,300,,,,154,,,,,
4/25/2020 12:31:15,新規登録,コリアンバーベキューわいわい亭,都筑区,荏田南5-1-5,第一松澤ビル,,0459416299,都筑ふれあいの丘,テイクアウト 月曜火曜水曜土曜日曜  17時～20時,木曜日,,,焼肉,はい,いいえ,,肉厚のカルビ丼は他では味わえない美味さです,カルビ丼,1296,タン丼,1728,豚バラ丼,864,キムチチャーハン918  ビビンバ丼864ハラミ丼1296 ,155,,,,,
4/25/2020 12:43:22,修正依頼,小岩井牛乳横浜ミルクセンター,青葉区,元石川町5421-30,,,0459027828,たまプラーザ,エリア別 所定コース 定期配達方式,定休日なし,,,牛乳 ヨーグルト 乳製品 ソフトドリンク 果汁他,いいえ,はい,無料,"
イーハトーヴゥの國 小岩井農場からお届け…
0120-117-369(ぃぃなmilk) 
ｍob 090-3576-1144 
fax 045-902-7970 (24H) 
katsuyoshi-kitajima@ezweb.ne.jp 
kitajima-milk@c08.itscom.net 
…………………
うがい 手洗い プラズマ乳酸菌 プロジェクト
…………………
免疫NK細胞+ナチュラルキラーT細胞を強くし免疫司令塔プラズマサイトイド樹状細胞を直接活性化する乳酸菌と世界初認定",,,,,,,,17,,,,,
4/25/2020 13:41:49,新規登録,cafe/dining  PLUS,中区,蓬莱町3-107-1,モナーク関内大通り公園前1F,,0452422201,伊勢佐木長者町駅,テイクアウト 月曜日～土曜日 11時～20時,日曜日,http://www.cafedining-plus.com,,洋食,はい,いいえ,,"親娘と女性スタッフオンリーで営んでいます。
家庭の味を大事に丁寧にお作りしています。",ガーリックステーキライス ,1000,ハンバーグ,1000,カットステーキ,1100,"スパイシービーフカレー 900
牛すじのトマト煮込み 800",157,,,,,
